"iso2","year","month","n_users_total","is_hired_1mo_keywords_total","is_unemployed_keywords_total","job_offer_keywords_total","job_search_keywords_total","lost_job_1mo_keywords_total","is_hired_1mo_keywords_gender_male","is_hired_1mo_keywords_gender_female","is_unemployed_keywords_gender_male","is_unemployed_keywords_gender_female","job_offer_keywords_gender_male","job_offer_keywords_gender_female","job_search_keywords_gender_male","job_search_keywords_gender_female","lost_job_1mo_keywords_gender_male","lost_job_1mo_keywords_gender_female","is_hired_1mo_bert05_total","is_unemployed_bert05_total","job_offer_bert05_total","job_search_bert05_total","lost_job_1mo_bert05_total","is_hired_1mo_bert05_gender_male","is_hired_1mo_bert05_gender_female","is_unemployed_bert05_gender_male","is_unemployed_bert05_gender_female","job_offer_bert05_gender_male","job_offer_bert05_gender_female","job_search_bert05_gender_male","job_search_bert05_gender_female","lost_job_1mo_bert05_gender_male","lost_job_1mo_bert05_gender_female","is_hired_1mo_bert09_total","is_unemployed_bert09_total","job_offer_bert09_total","job_search_bert09_total","lost_job_1mo_bert09_total","is_hired_1mo_bert09_gender_male","is_hired_1mo_bert09_gender_female","is_unemployed_bert09_gender_male","is_unemployed_bert09_gender_female","job_offer_bert09_gender_male","job_offer_bert09_gender_female","job_search_bert09_gender_male","job_search_bert09_gender_female","lost_job_1mo_bert09_gender_male","lost_job_1mo_bert09_gender_female"
"BR",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
